Provnce,Health region,Hospital name,Type of hospital,Teaching status,Intensive Care,Obstetrics,Pediatrics,Mental Health and Addictions ,Rehabilitation,Long-Term Care,Other Acute
AB,Edmonton Zone,Glenrose Rehabilitation Hospital,R,Non-Teaching,,,,48,196,,
AB,Edmonton Zone,Leduc Community Hospital,G,Non-Teaching,,,,,,,74
AB,Edmonton Zone,Royal Alexandra Hospital,G,Teaching,35,45,,64,30,,639
AB,Edmonton Zone,Strathcona Community Hospital,G,Non-Teaching,,,,,,,
AB,Edmonton Zone,Sturgeon Community Hospital,G,Non-Teaching,18,23,,,,,125
AB,Edmonton Zone,University of Alberta Hospital,G,Teaching,116,,,46,,,670
AB,Edmonton Zone,WestView Health Centre,G,Non-Teaching,,,,,,40,29
AB,North Zone,Athabasca Healthcare Centre,G,Non-Teaching,,,,,,23,27
AB,North Zone,Barrhead Healthcare Centre,G,Non-Teaching,,,,,,,34
AB,North Zone,Beaverlodge Municipal Hospital,G,Non-Teaching,,,,,,,18
AB,North Zone,Boyle Healthcare Centre,G,Non-Teaching,,,,,,,20
AB,North Zone,Central Peace Health Complex,G,Non-Teaching,,,,,,16,12
AB,North Zone,Cold Lake Healthcare Centre,G,Non-Teaching,,,,,,31,24
AB,North Zone,Covenant Health Bonnyville Healthcare Centre,G,Non-Teaching,,,,,,30,33
AB,North Zone,Edson Healthcare Centre,G,Non-Teaching,,,,,,,24
AB,North Zone,Elk Point Healthcare Centre,G,Non-Teaching,,,,,,30,12
AB,North Zone,Fairview Health Complex,G,Non-Teaching,,,,,,67,25
AB,North Zone,Fox Creek Healthcare Centre,G,Non-Teaching,,,,,,,4
AB,North Zone,George McDougall Smoky Lake Healthcare Centre,G,Non-Teaching,,,,,,23,12
AB,North Zone,Grande Cache Community Health Complex,G,Non-Teaching,,,,,,,12
AB,North Zone,High Prairie Health Complex,G,Non-Teaching,,,,,,,30
,North Zone,Hinton Healthcare Centre,G,Non-Teaching,,,,,,,23
AB,North Zone,Manning Community Health Centre,G,Non-Teaching,,,,,,16,11
AB,North Zone,Mayerthorpe Healthcare Centre,G,Non-Teaching,,,,,,30,24
AB,North Zone,Northern Lights Regional Health Centre,"G,E",Non-Teaching,6,11,8,10,,31,70
AB,North Zone,Northwest Health Centre,G,Non-Teaching,,,,,,11,21
AB,North Zone,Peace River Community Health Centre,G,Non-Teaching,,,,,6,34,31
AB,North Zone,Queen Elizabeth II Hospital,G,Non-Teaching,6,22,10,14,,,99
AB,North Zone,Redwater Health Centre,G,Non-Teaching,,,,,,7,14
AB,North Zone,Sacred Heart Community Health Centre,G,Non-Teaching,,,,,,,20
AB,North Zone,Seton (Jasper) Healthcare Centre,G,Non-Teaching,,,,,,,11
AB,North Zone,Slave Lake Healthcare Centre,G,Non-Teaching,,,,,,20,24
AB,North Zone,St. Theresa General Hospital,"G,E",Non-Teaching,,,,,,8,26
AB,North Zone,St. Therese-St. Paul Healthcare Centre,G,Non-Teaching,,,,10,,30,30
AB,North Zone,Swan Hills Healthcare Centre,G,Non-Teaching,,,,,,,4
AB,North Zone,Valleyview Health Centre,G,Non-Teaching,,,,,,25,20
AB,North Zone,Wabasca/Desmarais Healthcare Centre,G,Non-Teaching,,,,,,,10
AB,North Zone,Westlock Healthcare Centre,G,Non-Teaching,,,,,8,112,46
AB,North Zone,Whitecourt Healthcare Centre,G,Non-Teaching,,,,,,,22
AB,North Zone,William J. Cadzow  Lac La Biche Healthcare Centre,G,Non-Teaching,,,,,,41,23
AB,South Zone,Bassano Health Centre,G,Non-Teaching,,,,,,8,4
AB,South Zone,Big Country Hospital,G,Non-Teaching,,,,,,30,10
AB,South Zone,Bow Island Health Centre,G,Non-Teaching,,,,,,20,10
AB,South Zone,Brooks Health Centre,G,Teaching,,,,,,,37
AB,South Zone,Cardston Health Centre,G,Non-Teaching,,,,,,12,19
AB,South Zone,Chinook Regional Hospital,G,Non-Teaching,14,25,11,41,25,,156
AB,South Zone,Covenant Health St. Michael’s Health Centre,E,Non-Teaching,,,,,24,72,10
AB,South Zone,Crowsnest Pass Health Centre,G,Non-Teaching,,,,,,58,16
AB,South Zone,Fort Macleod Health Centre,G,Non-Teaching,,,,,,4,
AB,South Zone,Medicine Hat Regional Hospital,G,Non-Teaching,10,14,10,31,30,,108
AB,South Zone,Milk River Health Centre,G,Non-Teaching,,,,,,24,
AB,South Zone,Pincher Creek Health Centre,G,Non-Teaching,,,,,,,19
AB,South Zone,Raymond Health Centre,G,Non-Teaching,,,,,,5,12
AB,South Zone,Taber Health Centre,G,Non-Teaching,,,,,,10,19
BC,Fraser Health,Abbotsford Regional Hospital and Cancer Centre,"G,S-Psy",Non-Teaching,16,48,12,27,,,178
BC,Fraser Health,Burnaby Hospital,"G,E,S-Psy",Non-Teaching,9,27,,25,,,216
BC,Fraser Health,Chilliwack General Hospital,"G,E,S-Psy",Non-Teaching,6,20,,14,,90,101
BC,Fraser Health,Cottage-Worthington Pavilion,"E,R",Non-Teaching,,,,,25,119,
BC,Fraser Health,Delta Hospital,"E,G",Non-Teaching,,,,,,92,58
BC,Fraser Health,Eagle Ridge Hospital,"E,G,R",Non-Teaching,,,,,,75,168
BC,Fraser Health,Fraser Canyon Hospital,"E,G",Non-Teaching,,,,,,50,10
BC,Fraser Health,Langley Memorial Hospital,"E,G,S-Psy",Non-Teaching,12,28,9,18,,220,135
BC,Fraser Health,Menno Hospital,E,Non-Teaching,,,,,,,
BC,Fraser Health,Mission Memorial Hospital,"E,G",Non-Teaching,,,,,,200,45
BC,Fraser Health,Peace Arch Hospital,"E,G,S-Psy",Non-Teaching,7,14,,11,20,234,126
BC,Fraser Health,Queen’s Park & Fellburn Care Centres,"E,R",Non-Teaching,,,,,79,150,
BC,Fraser Health,Ridge Meadows Hospital and Health Care Centre,"G,E,S-Psy",Non-Teaching,7,26,,20,25,148,93
BC,Fraser Health,Royal Columbian Hospital,"G,S-Psy,S-Ped",Teaching,51,56,12,30,,,281
BC,Fraser Health,St. Michael’s Centre,E,Non-Teaching,,,,,,,
BC,Fraser Health,Surrey Memorial Hospital,"G,S-Psy",Teaching,41,75,16,83,20,,423
BC,Interior Health,100 Mile District General Hospital,G,Non-Teaching,,,,,,,21
BC,Interior Health,Arrow Lakes Hospital,G,Non-Teaching,,,,,,,6
BC,Interior Health,Ashcroft Hospital and Community Health Centre,E,Non-Teaching,,,,,,,
BC,Interior Health,Boundary Hospital,G,Non-Teaching,,,,,,,14
BC,Interior Health,Cariboo Memorial Hospital,G,Non-Teaching,3,14,,,,,20
BC,Interior Health,Creston Valley Hospital,G,Non-Teaching,,,,,,,18
BC,Interior Health,Dr. Helmcken Memorial Hospital,G,Non-Teaching,,,,,,,8
BC,Interior Health,East Kootenay Regional Hospital,"G,S-Psy",Non-Teaching,6,8,2,10,,,55
BC,Interior Health,Elk Valley Hospital,G,Non-Teaching,,,,,,,21
BC,Interior Health,Golden and District General Hospital,G,Non-Teaching,,,,,,,9
BC,Interior Health,Hillside Centre,S-Psy,Non-Teaching,,,,47,,,
BC,Interior Health,Invermere and District Hospital,G,Non-Teaching,,,,,,,9
BC,Interior Health,Kelowna General Hospital,G,Teaching,29,31,10,44,38,,307
BC,Interior Health,Kootenay Boundary Regional Hospital,"G,S-Psy",Non-Teaching,6,6,4,12,,,50
BC,Interior Health,Kootenay Lake Hospital,G,Non-Teaching,,,,,,,33
BC,Interior Health,Lillooet Hospital and Health Centre,G,Non-Teaching,,,,,,,8
BC,Interior Health,Nicola Valley Health Centre,G,Non-Teaching,,,,,,,8
BC,Interior Health,Overlander Extended Care Hospital,E,Non-Teaching,,,,,,,
BC,Interior Health,Penticton Regional Hospital,"G,S-Psy",Non-Teaching,7,31,11,15,13,,75
BC,Interior Health,Pleasant Valley Health Centre,E,Non-Teaching,,,,,,,
BC,Interior Health,Princeton General Hospital,G,Non-Teaching,,,,,,,6
BC,Interior Health,Queen Victoria Hospital,G,Non-Teaching,,,,,,,16
BC,Interior Health,Royal Inland Hospital,"G,S-Psy",Non-Teaching,16,24,9,28,32,,157
BC,Interior Health,Shuswap Lake General Hospital,G,Non-Teaching,3,8,,,,,37
BC,Interior Health,South Hills Tertiary Psychiatric Rehabilitation Centre,S-Psy,Non-Teaching,,,,40,,,
BC,Interior Health,South Okanagan General Hospital,G,Non-Teaching,,,,,,,18
BC,Interior Health,Summerland Health Centre,E,Non-Teaching,,,,,,,
BC,Interior Health,Vernon Jubilee Hospital,"G,S-Psy",Non-Teaching,10,25,,17,,,144
BC,Interior Health,Victorian Community Health Centre of Kaslo,E,Non-Teaching,,,,,,,
BC,Island Health,Chemainus Health Care Centre,E,Non-Teaching,,,,,,,
BC,Island Health,Cormorant Island Community Health Centre,"E,G",Non-Teaching,,,,,,10,4
BC,Island Health,Cowichan District Hospital,"G,S-Psy",Non-Teaching,7,20,,15,,,98
BC,Island Health,Juan de Fuca Hospitals,E,Non-Teaching,,,,,,,
BC,Island Health,Lady Minto Gulf Islands Hospital,"E,G",Non-Teaching,,,,,,29,22
BC,Island Health,Mount St. Mary Hospital,E,Non-Teaching,,,,,,,
BC,Island Health,Nanaimo Regional General Hospital,"G,S-Psy",Non-Teaching,10,34,8,31,25,,247
BC,Island Health,Port Hardy Hospital,"E,G",Non-Teaching,,,,,,22,12
BC,Island Health,Port McNeill and District Hospital,G,Non-Teaching,,,,,,,10
BC,Island Health,Queen Alexandra Centre for Children’s Health,S-Ped,Non-Teaching,,,,14,,,
BC,Island Health,Royal Jubilee Hospital,"G,S-Psy",Teaching,27,,,84,32,,354
BC,Island Health,Saanich Peninsula Hospital,"E,G",Non-Teaching,,,,,,143,65
BC,Island Health,The North Island Hospital Campbell River and District Campus,G,Non-Teaching,13,11,3,,,,72
BC,Island Health,The Views at St. Joseph’s,E,Non-Teaching,,,,,,141,4
BC,Island Health,The North Island Hospital Comox Valley Campus,"G,S-Psy",Non-Teaching,14,16,3,15,,,107
BC,Island Health,Tofino General Hospital,G,Non-Teaching,,,,,,,12
BC,Island Health,Victoria General Hospital,G,Teaching,14,64,16,,20,,243
BC,Island Health,West Coast General Hospital,"G,S-Psy",Non-Teaching,3,8,,,,,45
BC,Northern Health,Bulkley Valley District Hospital,G,Non-Teaching,,4,,,,,17
BC,Northern Health,Chetwynd Hospital and Health Centre,G,Non-Teaching,,,,,,,4
BC,Northern Health,Dawson Creek and District Hospital,G,Non-Teaching,3,4,,12,,,28
BC,Northern Health,Fort Nelson General Hospital,G,Non-Teaching,,,,,,,9
BC,Northern Health,Fort St. John Hospital and Health Centre,G,Non-Teaching,3,8,,,,,37
BC,Northern Health,G. R. Baker Memorial Hospital,G,Non-Teaching,4,,,5,,,32
BC,Northern Health,Haida Gwaii Hospital and Health Centre,G,Non-Teaching,,,,,,,5
BC,Northern Health,Kitimat Hospital and Health Centre,G,Non-Teaching,,,,,,,17
BC,Northern Health,Lakes District Hospital and Health Centre,G,Non-Teaching,,,,,,,10
BC,Northern Health,Mackenzie and District Hospital and Health Centre,G,Non-Teaching,,,,,,,4
BC,Northern Health,McBride and District Hospital,G,Non-Teaching,,,,,,,3
BC,Northern Health,Mills Memorial Hospital,"G,S-Psy",Non-Teaching,3,4,,9,,,29
BC,Northern Health,Northern Haida Gwaii Hospital and Health Centre,G,Non-Teaching,,,,,,,4
BC,Northern Health,Prince Rupert Regional Hospital,G,Non-Teaching,1,,,,,,26
BC,Northern Health,St. John Hospital,G,Non-Teaching,,,,,,,19
BC,Northern Health,Stuart Lake Hospital,G,Non-Teaching,,,,,,,4
BC,Northern Health,University Hospital of Northern British Columbia,"G,S-Psy",Teaching,13,16,6,30,22,,132
BC,Northern Health,Wrinch Memorial Hospital,G,Non-Teaching,,,,,,,10
BC,Provincial Health Services Authority,BC Cancer Agency,C,Teaching,,,,,,,25
BC,Provincial Health Services Authority,Children’s and Women’s Health Centre of British Columbia,"S-Oth,S-Ped,S-Psy",Teaching,18,63,,50,14,,103
BC,Provincial Health Services Authority,Forensic Psychiatric Hospital,S-Psy,Non-Teaching,,,,181,,,
BC,Vancouver Coastal Health,Bella Coola General Hospital,G,Non-Teaching,,,,,,,14
BC,Vancouver Coastal Health,G. F. Strong Rehabilitation Centre,R,Non-Teaching,,,,,62,,
BC,Vancouver Coastal Health,George Pearson Centre,E,Non-Teaching,,,,,,114,
BC,Vancouver Coastal Health,Holy Family Hospital,"E,R",Non-Teaching,,,,,65,142,
BC,Vancouver Coastal Health,Lions Gate Hospital,"E,G,S-Psy",Non-Teaching,9,21,8,36,17,284,161
BC,Vancouver Coastal Health,Louis Brier Home and Hospital,E,Non-Teaching,,,,,,,
BC,Vancouver Coastal Health,Mount Saint Joseph Hospital,E,Non-Teaching,6,,,16,,100,73
BC,Vancouver Coastal Health,Powell River General Hospital,"G,E,S-Psy",Non-Teaching,4,4,,7,,75,18
BC,Vancouver Coastal Health,R. W. Large Memorial Hospital,G,Non-Teaching,,,,,,,15
BC,Vancouver Coastal Health,Squamish General Hospital,G,Non-Teaching,,,,,,,21
BC,Vancouver Coastal Health,St. Mary’s Hospital [Sechelt],"G,E,S-Psy",Non-Teaching,4,3,,6,,49,33
BC,Vancouver Coastal Health,St. Paul’s Hospital,"G,S-Psy",Teaching,35,44,,67,,,300
BC,Vancouver Coastal Health,The Richmond Hospital,"G,S-Psy",Non-Teaching,8,15,3,22,,,174
BC,Vancouver Coastal Health,UBC Hospital,"E,G,S-Psy",Teaching,,,,35,,244,42
BC,Vancouver Coastal Health,Vancouver General Hospital,"G,E,S-Psy",Teaching,50,,,187,,156,636
MB,Interlake–Eastern Regional Health Authority,Arborg and Districts Health Centre,G,Non-Teaching,,,,,,,14
MB,Interlake–Eastern Regional Health Authority,Beausejour District Hospital,G,Non-Teaching,,,,,,,30
MB,Interlake–Eastern Regional Health Authority,E. M. Crowe Memorial Hospital,G,Non-Teaching,,,,,,,13
MB,Interlake–Eastern Regional Health Authority,Gimli Community Health Centre,G,Non-Teaching,,,,,,,26
MB,Interlake–Eastern Regional Health Authority,Lakeshore Health Centre,G,Non-Teaching,,,,,,,14
MB,Interlake–Eastern Regional Health Authority,Pinawa Hospital,G,Non-Teaching,,,,,,,17
MB,Interlake–Eastern Regional Health Authority,Pine Falls Health Complex,G,Non-Teaching,,,,,,,23
MB,Interlake–Eastern Regional Health Authority,Selkirk Regional Health Centre,G,Non-Teaching,,8,,,,,53
MB,Interlake–Eastern Regional Health Authority,Stonewall and District Health Centre,G,Non-Teaching,,,,,,,15
MB,Interlake–Eastern Regional Health Authority,Teulon/Hunter Memorial Hospital,G,Non-Teaching,,,,,,,20
MB,Northern Health Region,Flin Flon General Hospital,G,Non-Teaching,,8,,,,,34
MB,Northern Health Region,Gillam Hospital Inc.,G,Non-Teaching,,,,,,,10
MB,Northern Health Region,Lynn Lake Hospital,G,Non-Teaching,,,,,,,19
MB,Northern Health Region,Snow Lake Health Centre,"G,E",Non-Teaching,,,,,,,4
MB,Northern Health Region,The Pas Health Complex,"G,S-Psy",Non-Teaching,,8,,8,,,21
MB,Northern Health Region,Thompson General Hospital,"G,S-Psy",Non-Teaching,,21,8,10,,,32
MB,Prairie Mountain Health,Baldur Health Centre,G,Non-Teaching,,,,,,,14
MB,Prairie Mountain Health,Birtle Health Centre,G,Non-Teaching,,,,,,,14
MB,Prairie Mountain Health,Boissevain Health Centre District,G,Non-Teaching,,,,,,,11
MB,Prairie Mountain Health,Brandon General Hospital,"G,E,S-Psy,R",Non-Teaching,9,20,7,47,49,48,104
MB,Prairie Mountain Health,Carberry Health Center,G,Non-Teaching,,,,,,,10
MB,Prairie Mountain Health,Dauphin Regional Health Centre,"G,R,S-Psy",Non-Teaching,4,8,,10,,,60
MB,Prairie Mountain Health,Deloraine Health Centre,G,Non-Teaching,,,,,,,14
MB,Prairie Mountain Health,Erickson District Health Centre,G,Non-Teaching,,,,,,,9
MB,Prairie Mountain Health,Glenboro Health Centre,G,Non-Teaching,,,,,,,11
MB,Prairie Mountain Health,Grandview District Hospital,G,Non-Teaching,,,,,,,18
MB,Prairie Mountain Health,Hamiota District Health Centre,G,Non-Teaching,,,,,,,20
MB,Prairie Mountain Health,McCreary/Alonsa Health Centre,G,Non-Teaching,,,,,,,13
MB,Prairie Mountain Health,Melita Health Centre,G,Non-Teaching,,,,,,,11
MB,Prairie Mountain Health,Minnedosa District Hospital,G,Non-Teaching,,,,,,,27
MB,Prairie Mountain Health,Neepawa Health Centre,G,Non-Teaching,,,,,,,35
MB,Prairie Mountain Health,Rivers Health Centre,G,Non-Teaching,,,,,13,,1
MB,Prairie Mountain Health,Roblin District Health Centre,G,Non-Teaching,,,,,,,25
MB,Prairie Mountain Health,Rossburn District Health Centre,G,Non-Teaching,,,,,,,9
MB,Prairie Mountain Health,Russell Health Centre,G,Non-Teaching,,,,,,,30
MB,Prairie Mountain Health,Shoal Lake-Strathclair Health Centre,G,Non-Teaching,,,,,,,12
MB,Prairie Mountain Health,Souris Health Centre,G,Non-Teaching,,,,,,,25
MB,Prairie Mountain Health,Ste. Rose General Hospital,G,Non-Teaching,,,,,,,25
MB,Prairie Mountain Health,Swan River Valley Hospital,G,Non-Teaching,,,,,16,,36
MB,Prairie Mountain Health,Tiger Hills Health District,G,Non-Teaching,,,,,,,13
MB,Prairie Mountain Health,Tri-Lake Health District,G,Non-Teaching,,,,,,,22
MB,Prairie Mountain Health,Virden District Hospital,G,Non-Teaching,,,,,,,25
MB,Prairie Mountain Health,Wawanesa and District Memorial Health Centre,G,Non-Teaching,,,,,,,6
MB,Prairie Mountain Health,Winnipegosis General Hospital,G,Non-Teaching,,,,,,,15
MB,Southern Health  Santé Sud,Altona Community Memorial,G,Non-Teaching,,,,,,,22
MB,Southern Health  Santé Sud,Bethesda Hospital,"G,E",Non-Teaching,,,,,20,,53
MB,Southern Health  Santé Sud,Boundary Trails Health Centre,"G,E",Non-Teaching,,,,,25,,65
MB,Southern Health  Santé Sud,Carman Memorial Hospital,G,Non-Teaching,,,,,,,25
MB,Southern Health  Santé Sud,DeSalaberry District Health Centre,G,Non-Teaching,,,,,,,14
MB,Southern Health  Santé Sud,Emerson Hospital,G,Non-Teaching,,,,,,,4
MB,Southern Health  Santé Sud,Lorne Memorial Hospital,G,Non-Teaching,,,,,,,18
MB,Southern Health  Santé Sud,MacGregor Health Centre,G,Non-Teaching,,,,,,,6
MB,Southern Health  Santé Sud,Morris General Hospital,G,Non-Teaching,,,,,,,23
MB,Southern Health  Santé Sud,Notre Dame Hospital,G,Non-Teaching,,,,,,,10
MB,Southern Health  Santé Sud,Pembina Manitou Health Centre,G,Non-Teaching,,,,,,,8
MB,Southern Health  Santé Sud,Portage District General Hospital,"G,E",Non-Teaching,,,,,,26,58
MB,Southern Health  Santé Sud,Rock Lake Health District Hospital,G,Non-Teaching,,,,,,,16
MB,Southern Health  Santé Sud,Seven Regions Health Centre,G,Non-Teaching,,,,,,,14
MB,Southern Health  Santé Sud,St. Claude Health Centre,G,Non-Teaching,,,,,,,10
MB,Southern Health  Santé Sud,Ste. Anne Hospital,G,Non-Teaching,,,,,,,21
MB,Southern Health  Santé Sud,Vita and District Health Centre,G,Non-Teaching,,,,,,,10
MB,Winnipeg Regional Health Authority,Churchill Health Centre,G,Non-Teaching,,,,,,7,20
MB,Winnipeg Regional Health Authority,Concordia Hospital,"G,R",Non-Teaching,5,,,,14,,178
MB,Winnipeg Regional Health Authority,Deer Lodge Centre,E,Non-Teaching,,,,,88,122,
MB,Winnipeg Regional Health Authority,Grace Hospital,"G,S-Psy,R",Non-Teaching,10,,,20,14,,213
MB,Winnipeg Regional Health Authority,Health Sciences Centre Winnipeg,"G,S-Ped,S-Psy,S-Oth",Teaching,81,66,,110,31,,429
MB,Winnipeg Regional Health Authority,Manitoba Adolescent Treatment Centre,S-Psy,Non-Teaching,,,,14,,,
MB,Winnipeg Regional Health Authority,Misericordia Health Centre,"E,G",Non-Teaching,,,,,,,39
MB,Winnipeg Regional Health Authority,Riverview Health Centre,"E,G",Non-Teaching,,,,,70,30,30
MB,Winnipeg Regional Health Authority,Seven Oaks General Hospital,"G,S-Psy,R",Non-Teaching,7,,,38,76,,187
MB,Winnipeg Regional Health Authority,St. Boniface General Hospital,"G,R,E,S-Psy",Teaching,49,42,,30,,,312
MB,Winnipeg Regional Health Authority,Victoria General Hospital,"G,R,S-Psy",Non-Teaching,,,,48,30,,89
NB,Zone 1 (Moncton Area),Dr. Georges-L.-Dumont University Hospital Centre,"G,R,E",Non-Teaching,16,17,14,24,25,50,156
NB,Zone 1 (Moncton Area),Sackville Memorial Hospital,G,Non-Teaching,,,,,,,21
NB,Zone 1 (Moncton Area),Stella-Maris-de-Kent Hospital,G,Non-Teaching,,,,,,,20
NB,Zone 1 (Moncton Area),The Moncton Hospital,"G,E,R",Non-Teaching,23,23,9,31,14,70,212
NB,Zone 2 (Saint John Area),Centracare,S-Psy,Non-Teaching,,,,50,,,
NB,Zone 2 (Saint John Area),Charlotte County Hospital,G,Non-Teaching,4,,,,,15,25
NB,Zone 2 (Saint John Area),Grand Manan Hospital,G,Non-Teaching,,,,,,,8
NB,Zone 2 (Saint John Area),Saint John Regional Hospital,"G,R",Teaching,43,33,11,23,12,59,305
NB,Zone 2 (Saint John Area),St. Joseph’s Hospital,E,Non-Teaching,,,,,,104,
NB,Zone 2 (Saint John Area),Sussex Health Centre,G,Non-Teaching,,,,,,,25
NB,Zone 3 (Fredericton Area),Dr. Everett Chalmers Regional Hospital,"G,R",Non-Teaching,19,20,12,25,24,30,184
NB,Zone 3 (Fredericton Area),Hotel-Dieu of St. Joseph,G,Non-Teaching,,,,,,,20
NB,Zone 3 (Fredericton Area),Oromocto Public Hospital,G,Non-Teaching,,,,,,17,28
NB,Zone 3 (Fredericton Area),Stan Cassidy Centre for Rehabilitation,R,Non-Teaching,,,,,20,,
NB,Zone 3 (Fredericton Area),Upper River Valley Hospital,G,Non-Teaching,5,5,,,,,42
NB,Zone 4 (Edmundston Area),Edmundston Regional Hospital,"G,E",Non-Teaching,10,16,14,15,,61,53
NB,Zone 4 (Edmundston Area),Grand Falls General Hospital,G,Non-Teaching,,,,,,,20
NB,Zone 4 (Edmundston Area),Hôtel-Dieu Saint-Joseph de Saint-Quentin,G,Non-Teaching,,,,,,,6
NB,Zone 5 (Campbellton Area),Campbellton Regional Hospital,"G,E",Non-Teaching,6,18,,20,,25,76
NB,Zone 5 (Campbellton Area),Restigouche Hospital Centre,S-Psy,Non-Teaching,,,,140,,,
